id,uuid,name,categ_id/id,type,lst_price
LAB1039,41737137-c9b5-4410-9b33-0ee8039908b7,Filaire test Diurne,product.categ_services_lab_test_orders,service,200
LAB1040,785b40ec-5829-46b2-8bb8-e808f8621501,Filaire test Nocturne,product.categ_services_lab_test_orders,service,250
LAB1041,9630356e-0543-4b05-b442-98748ee7a16f,Frottis Uretral + Goutte pendante,product.categ_services_lab_test_orders,service,200
LAB1042,166f683e-7610-49d9-8a99-ff3cd3863291,Frottis Vaginal + Goutte pendante,product.categ_services_lab_test_orders,service,200
LAB1043,7478a8d3-f42d-4c3f-934b-6a6ff1dcd912,Globules Blanches,product.categ_services_lab_test_orders,service,250
LAB1044,3c9cb504-2664-45c9-bfd4-680e2f9bb431,Globules Rouges,product.categ_services_lab_test_orders,service,250
LAB1045,9b10ba90-0463-4000-8a0c-4c9b3816c288,Glycemie Plasmatique,product.categ_services_lab_test_orders,service,250
LAB1046,3448df1c-68c0-4921-8dcf-36f5eeff4343,Glycemie Capillaire,product.categ_services_lab_test_orders,service,150
LAB1047,5dd677c5-ca41-465d-ad38-b2310954105c,Gravindex,product.categ_services_lab_test_orders,service,200
LAB1048,220d5285-ad5f-449d-b601-bcde944c85fa,"Groupe Sanguin (ABO, Rh)",product.categ_services_lab_test_orders,service,200
LAB1049,8722f3af-3690-4194-9221-451b7048a43e,Hematocrite,product.categ_services_lab_test_orders,service,0
LAB1050,2aa4c4bc-daae-47a0-a1cf-095f941b6a87,Taux de leucocytes,product.categ_services_lab_test_orders,service,0
LAB1051,a8688067-2cd6-46d1-ba89-de233deee58a,Taux d’hématies,product.categ_services_lab_test_orders,service,0
LAB1052,d9931701-1971-4c96-84ae-0bea7d916735,Hemoglobine,product.categ_services_lab_test_orders,service,0
LAB1053,cc113e0e-14f6-4d6f-a837-4db76b779179,Neutrophiles,product.categ_services_lab_test_orders,service,0
LAB1054,c94da765-58f0-432b-bb0d-5de494915ce6,Eosinophiles,product.categ_services_lab_test_orders,service,0
LAB1055,7a3e04d9-7337-4591-ba81-e9c83c7183d5,Basophiles,product.categ_services_lab_test_orders,service,0
LAB1056,671d631a-6787-4cda-a664-a87526de3a02,Lymphocites,product.categ_services_lab_test_orders,service,0
LAB1057,b4f13159-6e74-4420-857f-15a4b538d50a,Monocytes,product.categ_services_lab_test_orders,service,0
LAB1058,de9f079d-9172-47fb-8c48-48e0758bf948,Taux de reticulocytes,product.categ_services_lab_test_orders,service,250
LAB1059,98194bce-4607-4131-b58f-a3f49e3f5b60,Mean Corpuscular Volume,product.categ_services_lab_test_orders,service,0
LAB1060,fd3a2f03-35c8-47bb-a42d-ca81a61ab23b,Mean Corpuscular Hemoglobin Concentration,product.categ_services_lab_test_orders,service,0
LAB1061,3e87d649-a53d-43a3-bb06-892a2b36d1a3,Mean Corpuscular Hemoglobin,product.categ_services_lab_test_orders,service,0
LAB1062,31c8da4f-6e32-4174-9945-a2f5b7aa15c9,Plaquettes Sanguines,product.categ_services_lab_test_orders,service,250
LAB1063,d7c62b0b-f7d2-451c-b980-3515df60489d,Hemogramme Complet,product.categ_services_lab_test_orders,service,250
LAB1064,ec7fd2c3-cb77-4fe8-bb35-354fa37de045,Hemoglobine Glycolysilé(HBA1C),product.categ_services_lab_test_orders,service,1500
LAB1065,14ea7b4d-6c0d-4eda-a8a2-01d8edb5ecce,H-Pilori dans les selles,product.categ_services_lab_test_orders,service,750
LAB1066,40d9472b-fd37-418f-bd8c-da0942ed523f,H-Pilori test,product.categ_services_lab_test_orders,service,500
LAB1067,cbe84fa7-c035-45f8-82a8-5941e9273614,Lame Peripherique,product.categ_services_lab_test_orders,service,150
LAB1068,41340e80-7d51-4444-8ad8-d21280994602,Lipase,product.categ_services_lab_test_orders,service,400
LAB1069,f5141095-5734-405c-8fd7-12350dfa686d,Magnesium (Mg),product.categ_services_lab_test_orders,service,250
LAB1070,92b3b57d-9f9f-4d16-a94d-774c0bd38f15,Malaria test,product.categ_services_lab_test_orders,service,150
LAB1071,b3712d70-875a-4ac7-aba2-c14774e55c9e,Mantoux test,product.categ_services_lab_test_orders,service,150
LAB1072,b3911053-fa59-4eec-ab3a-a1e791f3de16,Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE),product.categ_services_lab_test_orders,service,1500
LAB1073,1e72558f-0554-4c00-a99d-94fd83878fd5,Proteine Serique,product.categ_services_lab_test_orders,service,400
LAB1074,b92fab67-729f-49e6-9fde-6dfd40aa415b,Proteine Totale,product.categ_services_lab_test_orders,service,250
LAB1075,42c7d71b-5763-4894-aa3a-7fccc378a7d6,PSA,product.categ_services_lab_test_orders,service,1500
LAB1076,b82b8ee0-62bc-42cc-aae9-5fae283e0e60,PT-INR,product.categ_services_lab_test_orders,service,300
LAB1077,60a512f8-46ab-470c-a8ec-7c7d30255291,RPR,product.categ_services_lab_test_orders,service,150
LAB1078,71c5b4ae-5eb2-40a8-be87-3974bac78a95,Sang Occulte,product.categ_services_lab_test_orders,service,200
LAB1079,a895379e-e2e8-448e-b9a1-4fd99b1af4fd,Selles,product.categ_services_lab_test_orders,service,200
LAB1080,9aac4d91-2c2a-4dbe-869d-c411868d1d84,Sickling test,product.categ_services_lab_test_orders,service,200
LAB1081,6d8fa52d-8b2b-44b8-932e-c18a55a8e9d4,Couleur,product.categ_services_lab_test_orders,service,0
LAB1082,2e654056-fa3e-4dcb-a336-483abcd3a0e0,Aspect,product.categ_services_lab_test_orders,service,0
LAB1083,8c93eb5a-6389-46c6-b42a-8c5bfd2bf882,Densité,product.categ_services_lab_test_orders,service,0
LAB1084,406db7de-1364-44fe-814e-e7e0851cca8b,pH,product.categ_services_lab_test_orders,service,0
LAB1085,f7b23f50-e122-442d-857d-4a83e7b0cbc3,Sang,product.categ_services_lab_test_orders,service,0
LAB1086,278a085f-cccf-41be-9aa2-89f21b816071,Nitrites,product.categ_services_lab_test_orders,service,0
LAB1087,cf5d745d-b6b4-4866-aece-af788cb74ff9,Acétone Cétone,product.categ_services_lab_test_orders,service,0
LAB1088,72fc2f0d-a3ad-4256-9389-094e462a3a6d,Bilirubine,product.categ_services_lab_test_orders,service,0
LAB1089,8ba070ef-c7fc-4669-970e-0d7e899d0165,Urobilinogène,product.categ_services_lab_test_orders,service,0
LAB1090,244bb05b-65e9-4929-9bba-3cfd0650617c,Urine Protéines,product.categ_services_lab_test_orders,service,0
LAB1091,0345d34d-08a1-4693-a184-c80330baf12b,Leucocytes,product.categ_services_lab_test_orders,service,0
LAB1092,ef4d5e02-33d5-4783-9494-d7bd7198c889,Urine Albumine,product.categ_services_lab_test_orders,service,0
LAB1093,e3363683-3d7d-4dea-8d39-e6e88b3ad74d,Bactéries,product.categ_services_lab_test_orders,service,0
LAB1094,1e8391be-516c-4af2-9fa2-92a9d9135faf,Cellules épithéliales,product.categ_services_lab_test_orders,service,0
LAB1095,0555f79e-060c-49a8-8aaf-f0565c09b709,Levures bourgeonnates,product.categ_services_lab_test_orders,service,0
LAB1096,3c98acaf-0381-483d-b4ba-b73471b6533a,Levures simples,product.categ_services_lab_test_orders,service,0
LAB1097,0075fe9b-f6cb-4a0c-a2fd-cb94bd78ef9c,Miscelium,product.categ_services_lab_test_orders,service,0
LAB1098,6ad43ddb-f519-40ce-ba16-f7c68076f3be,Macrophages,product.categ_services_lab_test_orders,service,0
LAB1099,77e4e7e0-4f97-4376-9d04-bd47e60d7738,Cellules rénales,product.categ_services_lab_test_orders,service,0
LAB1100,3c0075f0-9f4b-477a-9a66-4c2d18ddd869,Cylindres leucocytaires,product.categ_services_lab_test_orders,service,0
LAB1101,d16a3098-51a8-446a-ae7c-dcae5d7d8915,Cylindres granuleux,product.categ_services_lab_test_orders,service,0
LAB1102,75e12c96-547e-4e91-9173-005d8d182e30,Cylindres hyalins,product.categ_services_lab_test_orders,service,0
LAB1103,c6c814af-a9e0-45ab-9504-02e7ed09c954,Cylindres érythrocytaires,product.categ_services_lab_test_orders,service,0
LAB1104,1c278fde-4f2e-494b-9725-e08a57ea87d8,Cristaux,product.categ_services_lab_test_orders,service,0
LAB1105,0615ff49-4a4e-49e2-8cd0-d01258e58cf4,Trichomonas vagialis,product.categ_services_lab_test_orders,service,0
LAB1106,5355ed7b-f0ef-47a1-bf2b-c93b8f0303d7,Urines,product.categ_services_lab_test_orders,service,300
LAB1107,cefdab88-2126-442f-95fc-d7a8a5af94e8,Vitesse de Sedimentation (VS),product.categ_services_lab_test_orders,service,200
LAB1108,ca28bdb2-c032-4b2f-b33f-fd73de27b271,Widal,product.categ_services_lab_test_orders,service,200
LAB1109,7f66be56-1d90-46f4-b849-1eeeba4fae21,Zeihl,product.categ_services_lab_test_orders,service,0
